,0,columna_limpia
0,a,
1,o,
2,smith,smith
3,corp,corp
4,aos.n,aos.n
5,stifel,stifel
6,cuts,cuts
7,target,target
8,price,price
9,to,
10,from,
11,advanced,advanced
12,micro,micro
13,devices,devices
14,inc,inc
15,amd.o,amd.o
16,deutsche,deutsche
17,bank,bank
18,cuts,cuts
19,target,target
20,price,price
21,to,
22,from,
23,afc,afc
24,gamma,gamma
25,inc,inc
26,afcg.o,afcg.o
27,jefferies,jefferies
28,cuts,cuts
29,target,target
30,price,price
31,to,
32,from,
33,ag,ag
34,mortgage,mortgage
35,investment,investment
36,trust,trust
37,inc,inc
38,mitt.n,mitt.n
39,credit,credit
40,suisse,suisse
41,cuts,cuts
42,target,target
43,price,price
44,to,
45,from,
46,agilent,agilent
47,technologies,technologies
48,inc,inc
49,a.n,a.n
50,ubs,ubs
51,initiates,initiates
52,coverage,coverage
53,with,
54,buy,buy
55,rating,rating
56,target,target
57,price,price
58,airbnb,airbnb
59,inc,inc
60,abnb.o,abnb.o
61,stifel,stifel
62,cuts,cuts
63,target,target
64,price,price
65,to,
66,from,
67,alliant,alliant
68,energy,energy
69,corp,corp
70,lnt.o,lnt.o
71,bmo,bmo
72,cuts,cuts
73,target,target
74,price,price
75,to,
76,from,
77,ally,ally
78,financial,financial
79,inc,inc
80,ally.n,ally.n
81,barclays,barclays
82,cuts,cuts
83,target,target
84,price,price
85,to,
86,from,
87,ally,ally
88,financial,financial
89,inc,inc
90,ally.n,ally.n
91,bmo,bmo
92,cuts,cuts
93,target,target
94,price,price
95,to,
96,from,
97,ally,ally
98,financial,financial
99,inc,inc
100,ally.n,ally.n
101,credit,credit
102,suisse,suisse
103,cuts,cuts
104,target,target
105,price,price
106,to,
107,from,
108,ally,ally
109,financial,financial
110,inc,inc
111,ally.n,ally.n
112,deutsche,deutsche
113,bank,bank
114,cuts,cuts
115,target,target
116,price,price
117,to,
118,from,
119,ally,ally
120,financial,financial
121,inc,inc
122,ally.n,ally.n
123,evercore,evercore
124,isi,isi
125,cuts,cuts
126,target,target
127,price,price
128,to,
129,from,
130,ally,ally
131,financial,financial
132,inc,inc
133,ally.n,ally.n
134,evercore,evercore
135,isi,isi
136,cuts,cuts
137,to,
138,in,
139,line,line
140,from,
141,outperform,outperform
142,ally,ally
143,financial,financial
144,inc,inc
145,ally.n,ally.n
146,morgan,morgan
147,stanley,stanley
148,cuts,cuts
149,target,target
150,price,price
151,to,
152,from,
153,ally,ally
154,financial,financial
155,inc,inc
156,ally.n,ally.n
157,raymond,raymond
158,james,james
159,cuts,cuts
160,target,target
161,price,price
162,to,
163,from,
164,ally,ally
165,financial,financial
166,inc,inc
167,ally.n,ally.n
168,wells,wells
169,fargo,fargo
170,cuts,cuts
171,target,target
172,price,price
173,to,
174,from,
175,amazon.com,amazon.com
176,inc,inc
177,amzn.o,amzn.o
178,bofa,bofa
179,global,global
180,research,research
181,cuts,cuts
182,price,price
183,objective,objective
184,to,
185,from,
186,amazon.com,amazon.com
187,inc,inc
188,amzn.o,amzn.o
189,jefferies,jefferies
190,cuts,cuts
191,target,target
192,price,price
193,to,
194,from,
195,ambarella,ambarella
196,inc,inc
197,amba.o,amba.o
198,deutsche,deutsche
199,bank,bank
200,cuts,cuts
201,target,target
202,price,price
203,to,
204,from,
205,ameren,ameren
206,corp,corp
207,aee.n,aee.n
208,bmo,bmo
209,cuts,cuts
210,target,target
211,price,price
212,to,
213,from,
214,american,american
215,electric,electric
216,power,power
217,company,company
218,inc,inc
219,aep.o,aep.o
220,bmo,bmo
221,cuts,cuts
222,target,target
223,price,price
224,to,
225,from,
226,amplitude,amplitude
227,inc,inc
228,ampl.o,ampl.o
229,piper,piper
230,sandler,sandler
231,cuts,cuts
232,target,target
233,price,price
234,to,
235,from,
236,amplitude,amplitude
237,inc,inc
238,ampl.o,ampl.o
239,piper,piper
240,sandler,sandler
241,cuts,cuts
242,target,target
243,price,price
244,to,
245,from,
246,analog,analog
247,devices,devices
248,inc,inc
249,adi.o,adi.o
250,deutsche,deutsche
251,bank,bank
252,cuts,cuts
253,target,target
254,price,price
255,to,
256,from,
257,anglogold,anglogold
258,ashanti,ashanti
259,au.n,au.n
260,deutsche,deutsche
261,bank,bank
262,cuts,cuts
263,target,target
264,price,price
265,to,
266,from,
267,annaly,annaly
268,capital,capital
269,management,management
270,inc,inc
271,nly.n,nly.n
272,credit,credit
273,suisse,suisse
274,cuts,cuts
275,target,target
276,price,price
277,to,
278,from,
279,antero,antero
280,midstream,midstream
281,corp,corp
282,am.n,am.n
283,barclays,barclays
284,cuts,cuts
285,target,target
286,price,price
287,to,
288,from,
289,apa,apa
290,corporation,corporation
291,apa.o,apa.o
292,mkm,mkm
293,partners,partners
294,assumes,assumes
295,coverage,coverage
296,with,
297,buy,buy
298,rating,rating
299,target,target
300,price,price
301,apellis,apellis
302,pharmaceuticals,pharmaceuticals
303,inc,inc
304,apls.o,apls.o
305,citigroup,citigroup
306,raises,raises
307,price,price
308,target,target
309,to,
310,from,
311,apollo,apollo
312,commercial,commercial
313,real,real
314,estate,estate
315,finance,finance
316,inc,inc
317,ari.n,ari.n
318,credit,credit
319,suisse,suisse
320,cuts,cuts
321,pt,pt
322,to,
323,from,
324,apple,apple
325,inc,inc
326,aapl.o,aapl.o
327,wells,wells
328,fargo,fargo
329,cuts,cuts
330,target,target
331,price,price
332,to,
333,from,
334,ares,ares
335,commercial,commercial
336,real,real
337,estate,estate
338,corp,corp
339,acre.n,acre.n
340,credit,credit
341,suisse,suisse
342,cuts,cuts
343,pt,pt
344,to,
345,from,
346,arhaus,arhaus
347,inc,inc
348,arhs.o,arhs.o
349,piper,piper
350,sandler,sandler
351,cuts,cuts
352,target,target
353,price,price
354,to,
355,from,
356,arista,arista
357,networks,networks
358,inc,inc
359,anet.n,anet.n
360,bofa,bofa
361,global,global
362,research,research
363,cuts,cuts
364,price,price
365,objective,objective
366,to,
367,from,
368,arista,arista
369,networks,networks
370,inc,inc
371,anet.n,anet.n
372,bofa,bofa
373,global,global
374,research,research
375,cuts,cuts
376,to,
377,underperform,underperform
378,from,
379,buy,buy
380,armour,armour
381,residential,residential
382,reit,reit
383,inc,inc
384,arr.n,arr.n
385,credit,credit
386,suisse,suisse
387,cuts,cuts
388,target,target
389,price,price
390,to,
391,from,
392,array,array
393,technologies,technologies
394,inc,inc
395,arry.o,arry.o
396,jp,jp
397,morgan,morgan
398,raises,raises
399,target,target
400,price,price
401,to,
402,from,
403,autozone,autozone
404,inc,inc
405,azo.n,azo.n
406,raymond,raymond
407,james,james
408,raises,raises
409,target,target
410,price,price
411,to,
412,from,
413,avalonbay,avalonbay
414,communities,communities
415,inc,inc
416,avb.n,avb.n
417,piper,piper
418,sandler,sandler
419,cuts,cuts
420,target,target
421,price,price
422,to,
423,from,
424,avantor,avantor
425,inc,inc
426,avtr.n,avtr.n
427,bofa,bofa
428,global,global
429,research,research
430,cuts,cuts
431,price,price
432,objective,objective
433,to,
434,from,
435,aveanna,aveanna
436,healthcare,healthcare
437,holdings,holdings
438,avah.o,avah.o
439,credit,credit
440,suisse,suisse
441,cuts,cuts
442,target,target
443,price,price
444,to,
445,from,
446,aveanna,aveanna
447,healthcare,healthcare
448,holdings,holdings
449,avah.o,avah.o
450,stephens,stephens
451,cuts,cuts
452,target,target
453,price,price
454,to,
455,from,
456,aveanna,aveanna
457,healthcare,healthcare
458,holdings,holdings
459,inc,inc
460,avah.o,avah.o
461,rbc,rbc
462,cuts,cuts
463,target,target
464,price,price
465,to,
466,from,
467,avidity,avidity
468,biosciences,biosciences
469,inc,inc
470,rna.o,rna.o
471,chardan,chardan
472,capital,capital
473,markets,markets
474,initiates,initiates
475,with,
476,buy,buy
477,rating,rating
478,pt,pt
479,axonics,axonics
480,inc,inc
481,axnx.o,axnx.o
482,truist,truist
483,securities,securities
484,raises,raises
485,target,target
486,price,price
487,to,
488,from,
489,badger,badger
490,meter,meter
491,inc,inc
492,bmi.n,bmi.n
493,stifel,stifel
494,cuts,cuts
495,target,target
496,price,price
497,to,
498,from,
499,ball,ball
500,corp,corp
501,ball.n,ball.n
502,credit,credit
503,suisse,suisse
504,cuts,cuts
505,target,target
506,price,price
507,to,
508,from,
509,bally,bally
510,corp,corp
511,baly.n,baly.n
512,jefferies,jefferies
513,cuts,cuts
514,target,target
515,price,price
516,to,
517,from,
518,bally,bally
519,corp,corp
520,baly.n,baly.n
521,truist,truist
522,securities,securities
523,cuts,cuts
524,target,target
525,price,price
526,to,
527,from,
528,bath,bath
529,body,body
530,works,works
531,inc,inc
532,bbwi.n,bbwi.n
533,jp,jp
534,morgan,morgan
535,cuts,cuts
536,target,target
537,price,price
538,to,
539,from,
540,berry,berry
541,global,global
542,group,group
543,inc,inc
544,bery.n,bery.n
545,credit,credit
546,suisse,suisse
547,raises,raises
548,to,
549,outperform,outperform
550,from,
551,neutral,neutral
552,best,best
553,buy,buy
554,co,co
555,inc,inc
556,bby.n,bby.n
557,morgan,morgan
558,stanley,stanley
559,cuts,cuts
560,target,target
561,price,price
562,to,
563,from,
564,blackstone,blackstone
565,mortgage,mortgage
566,trust,trust
567,inc,inc
568,bxmt.n,bxmt.n
569,credit,credit
570,suisse,suisse
571,cuts,cuts
572,target,target
573,price,price
574,to,
575,from,
576,blade,blade
577,air,air
578,mobility,mobility
579,inc,inc
580,blde.o,blde.o
581,jp,jp
582,morgan,morgan
583,cuts,cuts
584,target,target
585,price,price
586,to,
587,from,
588,block,block
589,inc,inc
590,sq.n,sq.n
591,jefferies,jefferies
592,cuts,cuts
593,target,target
594,price,price
595,to,
596,from,
597,block,block
598,inc,inc
599,sq.n,sq.n
600,jp,jp
601,morgan,morgan
602,cuts,cuts
603,target,target
604,price,price
605,to,
606,from,
607,bloom,bloom
608,energy,energy
609,corp,corp
610,be.n,be.n
611,jp,jp
612,morgan,morgan
613,raises,raises
614,target,target
615,price,price
616,to,
617,from,
618,booking,booking
619,holdings,holdings
620,inc,inc
621,bkng.o,bkng.o
622,stifel,stifel
623,cuts,cuts
624,target,target
625,price,price
626,to,
627,from,
628,boston,boston
629,properties,properties
630,inc,inc
631,bxp.n,bxp.n
632,deutsche,deutsche
633,bank,bank
634,cuts,cuts
635,target,target
636,price,price
637,to,
638,from,
639,boyd,boyd
640,gaming,gaming
641,corp,corp
642,byd.n,byd.n
643,jefferies,jefferies
644,cuts,cuts
645,target,target
646,price,price
647,to,
648,from,
649,boyd,boyd
650,gaming,gaming
651,corp,corp
652,byd.n,byd.n
653,truist,truist
654,securities,securities
655,cuts,cuts
656,target,target
657,price,price
658,to,
659,from,
660,broadcom,broadcom
661,inc,inc
662,avgo.o,avgo.o
663,deutsche,deutsche
664,bank,bank
665,cuts,cuts
666,target,target
667,price,price
668,to,
669,from,
670,caesars,caesars
671,entertainment,entertainment
672,inc,inc
673,czr.o,czr.o
674,jefferies,jefferies
675,cuts,cuts
676,target,target
677,price,price
678,to,
679,from,
680,caesars,caesars
681,entertainment,entertainment
682,inc,inc
683,czr.o,czr.o
684,truist,truist
685,securities,securities
686,cuts,cuts
687,target,target
688,price,price
689,to,
690,from,
691,california,california
692,resources,resources
693,corp,corp
694,crc.n,crc.n
695,mkm,mkm
696,partners,partners
697,assumes,assumes
698,coverage,coverage
699,with,
700,buy,buy
701,rating,rating
702,pt,pt
703,calix,calix
704,inc,inc
705,calx.n,calx.n
706,barrington,barrington
707,research,research
708,cuts,cuts
709,target,target
710,price,price
711,to,
712,from,
713,cal-maine,cal-maine
714,foods,foods
715,inc,inc
716,calm.o,calm.o
717,bofa,bofa
718,global,global
719,research,research
720,raises,raises
721,price,price
722,objective,objective
723,to,
724,from,
725,cambridge,cambridge
726,bancorp,bancorp
727,catc.o,catc.o
728,kbw,kbw
729,cuts,cuts
730,target,target
731,price,price
732,to,
733,from,
734,camden,camden
735,property,property
736,trust,trust
737,cpt.n,cpt.n
738,piper,piper
739,sandler,sandler
740,cuts,cuts
741,target,target
742,price,price
743,to,
744,from,
745,carvana,carvana
746,co,co
747,cvna.n,cvna.n
748,jp,jp
749,morgan,morgan
750,cuts,cuts
751,target,target
752,price,price
753,to,
754,from,
755,carvana,carvana
756,co,co
757,cvna.n,cvna.n
758,jp,jp
759,morgan,morgan
760,cuts,cuts
761,target,target
762,price,price
763,to,
764,from,
765,centennial,centennial
766,resource,resource
767,development,development
768,cdev.o,cdev.o
769,mkm,mkm
770,partners,partners
771,assumes,assumes
772,with,
773,buy,buy
774,rating,rating
775,pt,pt
776,centerpoint,centerpoint
777,energy,energy
778,inc,inc
779,cnp.n,cnp.n
780,bmo,bmo
781,cuts,cuts
782,target,target
783,price,price
784,to,
785,from,
786,centerspace,centerspace
787,csr.n,csr.n
788,piper,piper
789,sandler,sandler
790,cuts,cuts
791,target,target
792,price,price
793,to,
794,from,
795,cheniere,cheniere
796,energy,energy
797,inc,inc
798,lng.a,lng.a
799,raymond,raymond
800,james,james
801,raises,raises
802,target,target
803,price,price
804,to,
805,from,
806,cheniere,cheniere
807,energy,energy
808,partners,partners
809,lp,lp
810,cqp.a,cqp.a
811,barclays,barclays
812,cuts,cuts
813,target,target
814,price,price
815,to,
816,from,
817,chevron,chevron
818,cvx.n,cvx.n
819,hsbc,hsbc
820,cuts,cuts
821,target,target
822,price,price
823,to,
824,from,
825,chevron,chevron
826,cvx.n,cvx.n
827,hsbc,hsbc
828,raises,raises
829,to,
830,buy,buy
831,from,
832,hold,hold
833,chimera,chimera
834,investment,investment
835,corp,corp
836,cim.n,cim.n
837,credit,credit
838,suisse,suisse
839,cuts,cuts
840,target,target
841,price,price
842,to,
843,from,
844,churchill,churchill
845,downs,downs
846,inc,inc
847,chdn.o,chdn.o
848,jefferies,jefferies
849,cuts,cuts
850,target,target
851,price,price
852,to,
853,from,
854,citizens,citizens
855,financial,financial
856,group,group
857,inc,inc
858,cfg.n,cfg.n
859,barclays,barclays
860,cuts,cuts
861,target,target
862,price,price
863,to,
864,from,
865,citizens,citizens
866,financial,financial
867,group,group
868,inc,inc
869,cfg.n,cfg.n
870,credit,credit
871,suisse,suisse
872,cuts,cuts
873,target,target
874,price,price
875,to,
876,from,
877,citizens,citizens
878,financial,financial
879,group,group
880,inc,inc
881,cfg.n,cfg.n
882,jefferies,jefferies
883,raises,raises
884,target,target
885,price,price
886,to,
887,from,
888,citizens,citizens
889,financial,financial
890,group,group
891,inc,inc
892,cfg.n,cfg.n
893,kbw,kbw
894,raises,raises
895,target,target
896,price,price
897,to,
898,from,
899,citizens,citizens
900,financial,financial
901,group,group
902,inc,inc
903,cfg.n,cfg.n
904,morgan,morgan
905,stanley,stanley
906,cuts,cuts
907,target,target
908,price,price
909,to,
910,from,
911,citizens,citizens
912,financial,financial
913,group,group
914,inc,inc
915,cfg.n,cfg.n
916,piper,piper
917,sandler,sandler
918,cuts,cuts
919,target,target
920,price,price
921,to,
922,from,
923,citizens,citizens
924,financial,financial
925,group,group
926,inc,inc
927,cfg.n,cfg.n
928,wedbush,wedbush
929,raises,raises
930,target,target
931,price,price
932,to,
933,from,
934,civitas,civitas
935,resources,resources
936,inc,inc
937,civi.n,civi.n
938,mkm,mkm
939,partners,partners
940,initiates,initiates
941,with,
942,buy,buy
943,rating,rating
944,target,target
945,price,price
946,cnx,cnx
947,resources,resources
948,corp,corp
949,cnx.n,cnx.n
950,mkm,mkm
951,partners,partners
952,assumes,assumes
953,with,
954,neutral,neutral
955,rating,rating
956,fair,fair
957,value,value
958,coca-cola,coca-cola
959,co,co
960,ko.n,ko.n
961,jp,jp
962,morgan,morgan
963,cuts,cuts
964,target,target
965,price,price
966,to,
967,from,
968,cognizant,cognizant
969,technology,technology
970,solutions,solutions
971,corp,corp
972,ctsh.o,ctsh.o
973,cowen,cowen
974,and,
975,company,company
976,cuts,cuts
977,pt,pt
978,to,
979,from,
980,cognizant,cognizant
981,technology,technology
982,solutions,solutions
983,corp,corp
984,ctsh.o,ctsh.o
985,jp,jp
986,morgan,morgan
987,cuts,cuts
988,target,target
989,price,price
990,to,
991,from,
992,comstock,comstock
993,resources,resources
994,crk.n,crk.n
995,mkm,mkm
996,partners,partners
997,assumes,assumes
998,with,
999,neutral,neutral
1000,rating,rating
1001,fair,fair
1002,value,value
1003,conduent,conduent
1004,inc,inc
1005,cndt.o,cndt.o
1006,cowen,cowen
1007,and,
1008,company,company
1009,cuts,cuts
1010,target,target
1011,price,price
1012,to,
1013,from,
1014,conocophillips,conocophillips
1015,cop.n,cop.n
1016,mkm,mkm
1017,partners,partners
1018,assumes,assumes
1019,coverage,coverage
1020,with,
1021,buy,buy
1022,rating,rating
1023,target,target
1024,price,price
1025,constellation,constellation
1026,energy,energy
1027,corp,corp
1028,ceg.o,ceg.o
1029,mizuho,mizuho
1030,raises,raises
1031,target,target
1032,price,price
1033,to,
1034,from,
1035,coterra,coterra
1036,energy,energy
1037,ctra.n,ctra.n
1038,mkm,mkm
1039,partners,partners
1040,assumes,assumes
1041,coverage,coverage
1042,with,
1043,neutral,neutral
1044,rating,rating
1045,fair,fair
1046,value,value
1047,cousins,cousins
1048,properties,properties
1049,inc,inc
1050,cuz.n,cuz.n
1051,barclays,barclays
1052,cuts,cuts
1053,target,target
1054,price,price
1055,to,
1056,from,
1057,crossfirst,crossfirst
1058,bankshares,bankshares
1059,inc,inc
1060,cfb.o,cfb.o
1061,kbw,kbw
1062,cuts,cuts
1063,target,target
1064,price,price
1065,to,
1066,from,
1067,crossfirst,crossfirst
1068,bankshares,bankshares
1069,inc,inc
1070,cfb.o,cfb.o
1071,truist,truist
1072,securities,securities
1073,cuts,cuts
1074,target,target
1075,price,price
1076,to,
1077,from,
1078,crossfirst,crossfirst
1079,bankshares,bankshares
1080,inc,inc
1081,cfb.o,cfb.o
1082,truist,truist
1083,securities,securities
1084,cuts,cuts
1085,target,target
1086,price,price
1087,to,
1088,from,
1089,danaher,danaher
1090,corp,corp
1091,dhr.n,dhr.n
1092,ubs,ubs
1093,cuts,cuts
1094,target,target
1095,price,price
1096,to,
1097,from,
1098,dave,dave
1099,inc,inc
1100,dave.o,dave.o
1101,jefferies,jefferies
1102,cuts,cuts
1103,target,target
1104,price,price
1105,to,
1106,from,
1107,dcp,dcp
1108,midstream,midstream
1109,lp,lp
1110,dcp.n,dcp.n
1111,barclays,barclays
1112,cuts,cuts
1113,target,target
1114,price,price
1115,to,
1116,from,
1117,delta,delta
1118,air,air
1119,lines,lines
1120,inc,inc
1121,dal.n,dal.n
1122,berenberg,berenberg
1123,cuts,cuts
1124,target,target
1125,price,price
1126,to,
1127,from,
1128,denbury,denbury
1129,inc,inc
1130,den.n,den.n
1131,mkm,mkm
1132,partners,partners
1133,assumes,assumes
1134,coverage,coverage
1135,with,
1136,buy,buy
1137,rating,rating
1138,target,target
1139,price,price
1140,diamondback,diamondback
1141,energy,energy
1142,inc,inc
1143,fang.o,fang.o
1144,mkm,mkm
1145,partners,partners
1146,assumes,assumes
1147,coverage,coverage
1148,with,
1149,buy,buy
1150,rating,rating
1151,pt,pt
1152,dominion,dominion
1153,energy,energy
1154,inc,inc
1155,d.n,d.n
1156,bmo,bmo
1157,cuts,cuts
1158,target,target
1159,price,price
1160,to,
1161,from,
1162,draftkings,draftkings
1163,inc,inc
1164,dkng.o,dkng.o
1165,truist,truist
1166,securities,securities
1167,cuts,cuts
1168,target,target
1169,price,price
1170,to,
1171,from,
1172,dt,dt
1173,midstream,midstream
1174,inc,inc
1175,dtm.n,dtm.n
1176,barclays,barclays
1177,raises,raises
1178,target,target
1179,price,price
1180,to,
1181,from,
1182,dt,dt
1183,midstream,midstream
1184,inc,inc
1185,dtm.n,dtm.n
1186,barclays,barclays
1187,raises,raises
1188,to,
1189,overweight,overweight
1190,from,
1191,equal-weight,equal-weight
1192,dte,dte
1193,energy,energy
1194,co,co
1195,dte.n,dte.n
1196,bmo,bmo
1197,cuts,cuts
1198,target,target
1199,price,price
1200,to,
1201,from,
1202,duke,duke
1203,energy,energy
1204,corp,corp
1205,duk.n,duk.n
1206,bmo,bmo
1207,cuts,cuts
1208,target,target
1209,price,price
1210,to,
1211,from,
1212,dxc,dxc
1213,technology,technology
1214,co,co
1215,dxc.n,dxc.n
1216,cowen,cowen
1217,and,
1218,company,company
1219,cuts,cuts
1220,target,target
1221,price,price
1222,to,
1223,from,
1224,dxc,dxc
1225,technology,technology
1226,co,co
1227,dxc.n,dxc.n
1228,jp,jp
1229,morgan,morgan
1230,cuts,cuts
1231,target,target
1232,price,price
1233,to,
1234,from,
1235,dyne,dyne
1236,therapeutics,therapeutics
1237,dyn.o,dyn.o
1238,chardan,chardan
1239,capital,capital
1240,markets,markets
1241,initiates,initiates
1242,coverage,coverage
1243,with,
1244,buy,buy
1245,rating,rating
1246,dyne,dyne
1247,therapeutics,therapeutics
1248,dyn.o,dyn.o
1249,chardan,chardan
1250,capital,capital
1251,markets,markets
1252,initiates,initiates
1253,coverage,coverage
1254,with,
1255,pt,pt
1256,dynex,dynex
1257,capital,capital
1258,inc,inc
1259,dx.n,dx.n
1260,credit,credit
1261,suisse,suisse
1262,raises,raises
1263,target,target
1264,price,price
1265,to,
1266,from,
1267,eagle,eagle
1268,materials,materials
1269,inc,inc
1270,exp.n,exp.n
1271,jp,jp
1272,morgan,morgan
1273,cuts,cuts
1274,target,target
1275,price,price
1276,to,
1277,from,
1278,eagle,eagle
1279,materials,materials
1280,inc,inc
1281,exp.n,exp.n
1282,jp,jp
1283,morgan,morgan
1284,cuts,cuts
1285,to,
1286,neutral,neutral
1287,from,
1288,overweight,overweight
1289,edwards,edwards
1290,lifesciences,lifesciences
1291,corp,corp
1292,ew.n,ew.n
1293,truist,truist
1294,securities,securities
1295,cuts,cuts
1296,target,target
1297,price,price
1298,to,
1299,from,
1300,ellington,ellington
1301,financial,financial
1302,inc,inc
1303,efc.n,efc.n
1304,credit,credit
1305,suisse,suisse
1306,cuts,cuts
1307,target,target
1308,price,price
1309,to,
1310,from,
1311,energy,energy
1312,transfer,transfer
1313,lp,lp
1314,et.n,et.n
1315,barclays,barclays
1316,cuts,cuts
1317,target,target
1318,price,price
1319,to,
1320,from,
1321,enphase,enphase
1322,energy,energy
1323,inc,inc
1324,enph.o,enph.o
1325,jp,jp
1326,morgan,morgan
1327,raises,raises
1328,target,target
1329,price,price
1330,to,
1331,from,
1332,entergy,entergy
1333,corp,corp
1334,etr.n,etr.n
1335,bmo,bmo
1336,raises,raises
1337,target,target
1338,price,price
1339,to,
1340,from,
1341,enviva,enviva
1342,inc,inc
1343,eva.n,eva.n
1344,jp,jp
1345,morgan,morgan
1346,raises,raises
1347,target,target
1348,price,price
1349,to,
1350,from,
1351,eog,eog
1352,resources,resources
1353,inc,inc
1354,eog.n,eog.n
1355,mkm,mkm
1356,partners,partners
1357,assumes,assumes
1358,coverage,coverage
1359,with,
1360,buy,buy
1361,rating,rating
1362,pt,pt
1363,epam,epam
1364,systems,systems
1365,inc,inc
1366,epam.n,epam.n
1367,cowen,cowen
1368,and,
1369,company,company
1370,cuts,cuts
1371,target,target
1372,price,price
1373,to,
1374,from,
1375,equitrans,equitrans
1376,midstream,midstream
1377,corp,corp
1378,etrn.n,etrn.n
1379,barclays,barclays
1380,cuts,cuts
1381,target,target
1382,price,price
1383,to,
1384,from,
1385,equitrans,equitrans
1386,midstream,midstream
1387,corp,corp
1388,etrn.n,etrn.n
1389,morgan,morgan
1390,stanley,stanley
1391,cuts,cuts
1392,target,target
1393,price,price
1394,to,
1395,from,
1396,equity,equity
1397,lifestyle,lifestyle
1398,properties,properties
1399,inc,inc
1400,els.n,els.n
1401,bmo,bmo
1402,cuts,cuts
1403,target,target
1404,price,price
1405,to,
1406,from,
1407,equity,equity
1408,residential,residential
1409,eqr.n,eqr.n
1410,piper,piper
1411,sandler,sandler
1412,cuts,cuts
1413,target,target
1414,price,price
1415,to,
1416,from,
1417,equity,equity
1418,residential,residential
1419,eqr.n,eqr.n
1420,piper,piper
1421,sandler,sandler
1422,cuts,cuts
1423,to,
1424,underweight,underweight
1425,from,
1426,neutral,neutral
1427,etsy,etsy
1428,inc,inc
1429,etsy.o,etsy.o
1430,d.a.davidson,d.a.davidson
1431,cuts,cuts
1432,price,price
1433,target,target
1434,to,
1435,from,
1436,etsy,etsy
1437,inc,inc
1438,etsy.o,etsy.o
1439,truist,truist
1440,securities,securities
1441,cuts,cuts
1442,target,target
1443,price,price
1444,to,
1445,from,
1446,everi,everi
1447,holdings,holdings
1448,inc,inc
1449,evri.n,evri.n
1450,jefferies,jefferies
1451,cuts,cuts
1452,target,target
1453,price,price
1454,to,
1455,from,
1456,everi,everi
1457,holdings,holdings
1458,inc,inc
1459,evri.n,evri.n
1460,truist,truist
1461,securities,securities
1462,cuts,cuts
1463,target,target
1464,price,price
1465,to,
1466,from,
1467,eversource,eversource
1468,energy,energy
1469,es.n,es.n
1470,bmo,bmo
1471,cuts,cuts
1472,target,target
1473,price,price
1474,to,
1475,from,
1476,evoqua,evoqua
1477,water,water
1478,technologies,technologies
1479,corp,corp
1480,aqua.n,aqua.n
1481,stifel,stifel
1482,cuts,cuts
1483,target,target
1484,price,price
1485,to,
1486,from,
1487,exact,exact
1488,sciences,sciences
1489,corp,corp
1490,exas.o,exas.o
1491,bofa,bofa
1492,global,global
1493,research,research
1494,cuts,cuts
1495,price,price
1496,objective,objective
1497,to,
1498,from,
1499,excelerate,excelerate
1500,energy,energy
1501,inc,inc
1502,ee.n,ee.n
1503,barclays,barclays
1504,cuts,cuts
1505,target,target
1506,price,price
1507,to,
1508,from,
1509,exelon,exelon
1510,corp,corp
1511,exc.o,exc.o
1512,bmo,bmo
1513,cuts,cuts
1514,target,target
1515,price,price
1516,to,
1517,from,
1518,expedia,expedia
1519,group,group
1520,inc,inc
1521,expe.o,expe.o
1522,stifel,stifel
1523,cuts,cuts
1524,target,target
1525,price,price
1526,to,
1527,from,
1528,exxon,exxon
1529,mobil,mobil
1530,corporation,corporation
1531,xom.n,xom.n
1532,hsbc,hsbc
1533,raises,raises
1534,target,target
1535,price,price
1536,to,
1537,from,
1538,f5,f5
1539,inc,inc
1540,ffiv.o,ffiv.o
1541,bofa,bofa
1542,global,global
1543,research,research
1544,cuts,cuts
1545,price,price
1546,objective,objective
1547,to,
1548,from,
1549,f5,f5
1550,inc,inc
1551,ffiv.o,ffiv.o
1552,bofa,bofa
1553,global,global
1554,research,research
1555,cuts,cuts
1556,to,
1557,neutral,neutral
1558,from,
1559,buy,buy
1560,fb,fb
1561,financial,financial
1562,corp,corp
1563,fbk.n,fbk.n
1564,hovde,hovde
1565,group,group
1566,cuts,cuts
1567,target,target
1568,price,price
1569,to,
1570,from,
1571,fb,fb
1572,financial,financial
1573,corp,corp
1574,fbk.n,fbk.n
1575,kbw,kbw
1576,cuts,cuts
1577,target,target
1578,price,price
1579,to,
1580,from,
1581,fb,fb
1582,financial,financial
1583,corp,corp
1584,fbk.n,fbk.n
1585,piper,piper
1586,sandler,sandler
1587,cuts,cuts
1588,target,target
1589,price,price
1590,to,
1591,from,
1592,fb,fb
1593,financial,financial
1594,corp,corp
1595,fbk.n,fbk.n
1596,stephens,stephens
1597,raises,raises
1598,target,target
1599,price,price
1600,to,
1601,from,
1602,fb,fb
1603,financial,financial
1604,corp,corp
1605,fbk.n,fbk.n
1606,truist,truist
1607,securities,securities
1608,cuts,cuts
1609,target,target
1610,price,price
1611,to,
1612,from,
1613,fb,fb
1614,financial,financial
1615,corp,corp
1616,fbk.n,fbk.n
1617,truist,truist
1618,securities,securities
1619,cuts,cuts
1620,target,target
1621,price,price
1622,to,
1623,from,
1624,fidelity,fidelity
1625,national,national
1626,information,information
1627,services,services
1628,inc,inc
1629,fis.n,fis.n
1630,jefferies,jefferies
1631,cuts,cuts
1632,pt,pt
